[1] "Exp-Zero"             "1.520929e-04"         "7.267775e-07"        
[4] "1.353176e-04"         "1.598054e-01"         "5.976505e-01"        
[7] "SUFEX-Model2-SANN.R0"
SANN Opt
Q0=5.072e-05

Step661  Qn=2.517e-05
Step662  Qn=1.254e-05
Step663  Qn=6.376e-05
Step664  Qn=1.857e-05
Step665  Qn=1.101e-05
Step666  Qn=1.427e-05
Step667  Qn=1.078e-05
Step668  Qn=2.346e-05
Step669  Qn=1.111e-05
Step670  Qn=1.811e-05
Step671  Qn=4.205e-05
Step672  Qn=1.327e-05
Step673  Qn=2.246e-05
Step674  Qn=3.016e-05
Step675  Qn=1.675e-05
Step676  Qn=1.303e-05
Step677  Qn=2.071e-05
Step678  Qn=2.513e-05
Step679  Qn=1.524e-05
Step680  Qn=1.259e-05
Step681  Qn=1.181e-05
Step682  Qn=1.898e-05
Step683  Qn=1.663e-05
Step684  Qn=1.009e-05
Step685  Qn=9.935e-06
Step686  Qn=1.356e-05
Step687  Qn=1.589e-05
Step688  Qn=3.495e-05
Step689  Qn=1.198e-05
Step690  Qn=4.066e-05
Step691  Qn=2.549e-05
Step692  Qn=4.987e-05
Step693  Qn=3.322e-05
Step694  Qn=9.638e-06
Step695  Qn=1.228e-05
Step696  Qn=1.449e-05
Step697  Qn=4.556e-05
Step698  Qn=1.918e-05
Step699  Qn=1.736e-05
Step700  Qn=1.196e-05
Step701  Qn=2.444e-05
Step702  Qn=2.636e-05
Step703  Qn=2.914e-05
Step704  Qn=2.340e-05
Step705  Qn=1.951e-05
Step706  Qn=1.304e-05
Step707  Qn=1.921e-05
Step708  Qn=2.144e-05
Step709  Qn=2.619e-05
Step710  Qn=1.659e-05
Step711  Qn=2.834e-05
Step712  Qn=3.167e-05
Step713  Qn=1.671e-05
Step714  Qn=1.492e-05
Step715  Qn=1.554e-05
Step716  Qn=5.369e-05
Step717  Qn=2.245e-05
Step718  Qn=1.236e-05
Step719  Qn=2.408e-05
Step720  Qn=1.298e-05
Step721  Qn=1.785e-05
Step722  Qn=1.830e-05
Step723  Qn=1.522e-05
Step724  Qn=4.119e-05
Step725  Qn=1.522e-05
Step726  Qn=9.703e-06
Step727  Qn=1.701e-05
Step728  Qn=2.535e-05
Step729  Qn=1.147e-05
Step730  Qn=1.062e-05
Step731  Qn=1.126e-05
Step732  Qn=1.974e-05
Step733  Qn=2.042e-05
Step734  Qn=2.021e-05
Step735  Qn=2.989e-05
Step736  Qn=1.339e-05
Step737  Qn=1.657e-05
Step738  Qn=1.362e-05
Step739  Qn=2.203e-05
Step740  Qn=1.814e-05
Step741  Qn=1.639e-05
Step742  Qn=1.353e-05
Step743  Qn=1.619e-05
Step744  Qn=3.190e-05
Step745  Qn=1.325e-05
Step746  Qn=2.977e-05
Step747  Qn=1.510e-05
Step748  Qn=1.588e-05
Step749  Qn=1.533e-05
Step750  Qn=2.194e-05
Step751  Qn=1.909e-05
Step752  Qn=1.844e-05
Step753  Qn=4.762e-05
Step754  Qn=3.310e-05
Step755  Qn=1.242e-05
Step756  Qn=3.035e-05
Step757  Qn=1.064e-05
Step758  Qn=1.408e-05
Step759  Qn=1.194e-05
Step760  Qn=1.158e-05
Step761  Qn=1.412e-05
Step762  Qn=1.228e-05
Step763  Qn=2.278e-05
Step764  Qn=2.274e-05
Step765  Qn=2.140e-05
Step766  Qn=3.525e-05
Step767  Qn=3.367e-05
Step768  Qn=2.032e-05
Step769  Qn=1.313e-05
Step770  Qn=2.156e-05
Step771  Qn=3.056e-05
